2018-05-23 18:06:22 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-23 18:12:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-23 18:17:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-23 18:22:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-23 18:27:02 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-23 18:33:02 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-23 18:38:02 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 15:41:12 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 15:49:04 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 15:55:02 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 16:00:02 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 16:06:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 16:11:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
2018-05-24 16:16:03 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.bitrixsoft.com, port: , page: /upload/xdimport/xdimport_rss_en.xml, params: 
